Team Name,Games,Wins,Qualifying Wins,Qualifying Losses,NPI,Rank,Old Rank,Rank Change
Illinois Col.,28,13,13,13,50.274022,203,204,+1
Moravian,29,16,15,12,50.229336,204,205,+1
Arcadia,30,15,15,15,50.227673,205,206,+1
Albion,32,9,9,20,50.222050,206,217,+11
Grove City,28,14,13,14,50.212637,207,208,+1
Marymount (VA),33,12,12,18,50.208118,208,207,-1
Simpson,25,9,9,15,50.160000,209,211,+2
Simmons,29,15,13,14,50.159315,210,209,-1
Chatham,25,12,11,13,50.150799,211,212,+1
Cairn,21,14,13,7,50.148738,212,210,-2
Wheaton (MA),30,11,11,18,50.135935,213,213,0
DeSales,31,14,14,17,50.128807,214,214,0
Carleton,26,13,13,13,50.086416,215,215,0
Schreiner,24,10,10,11,49.960378,216,216,0
SUNY Morrisville,27,15,15,12,49.916885,217,218,+1
York (PA),31,10,10,18,49.893252,218,219,+1
Skidmore,28,12,12,15,49.886539,219,220,+1
Randolph,25,11,11,13,49.875789,220,221,+1
Wash. & Jeff.,28,15,15,13,49.866767,221,222,+1
Augustana (IL),30,10,10,18,49.850133,222,223,+1
Macalester,28,13,11,14,49.765891,223,224,+1
Farmingdale St.,23,15,14,8,49.690012,224,225,+1
McDaniel,23,11,10,10,49.689480,225,226,+1
Bluffton,30,16,14,14,49.682158,226,227,+1
Salve Regina,26,8,8,17,49.623575,227,228,+1
Saint Vincent,27,15,15,12,49.538205,228,229,+1
Oswego St.,28,14,13,14,49.522003,229,230,+1
Westfield St.,27,14,12,12,49.490789,230,231,+1
Lyon,19,12,12,7,49.465649,231,232,+1
St. Mary's (IN),22,10,10,11,49.379337,232,234,+2
McMurry,27,12,10,14,49.363656,233,233,0
St. Joseph's (L.I.),26,15,14,11,49.332098,234,235,+1
Benedictine (IL),28,12,12,15,49.296907,235,236,+1
Penn St.-Altoona,29,18,18,11,49.230304,236,237,+1
Bridgewater St.,21,13,10,8,49.116038,237,238,+1
Averett,30,11,11,15,49.095279,238,239,+1
Rhode Island Col.,23,13,13,10,49.062036,239,240,+1
Westminster (MO),31,16,16,13,49.060032,240,241,+1
Notre Dame (MD),22,13,12,9,49.036652,241,242,+1
Keene St.,30,14,13,16,48.995861,242,243,+1
Hiram,25,10,10,15,48.925335,243,245,+2
Gordon,21,8,8,12,48.923296,244,244,0
Olivet,19,8,8,10,48.919601,245,247,+2
Shenandoah,27,13,13,12,48.899366,246,246,0
SUNY Potsdam,22,12,12,8,48.810298,247,248,+1
Colby-Sawyer,33,21,16,12,48.794319,248,249,+1
Hamilton,19,5,5,13,48.733202,249,250,+1
Rose-Hulman,28,11,11,16,48.719140,250,251,+1
Brevard,25,11,10,14,48.689800,251,252,+1
Capital,26,9,9,16,48.502922,252,254,+2
Eastern Conn. St.,24,12,12,12,48.490446,253,253,0
Adrian,2,2,2,0,48.421680,254,157,-97
Lakeland,29,10,10,15,48.407816,255,255,0
St. Scholastica,29,13,12,16,48.356407,256,256,0
Hendrix,29,10,10,17,48.346866,257,257,0
Alvernia,26,12,12,14,48.319583,258,258,0
Sarah Lawrence,27,17,15,10,48.269319,259,259,0
Drew,32,11,11,18,48.178604,260,260,0
Neumann,32,13,13,16,48.143287,261,261,0
IIT,27,12,11,14,48.143114,262,262,0
Vassar,23,8,8,13,48.137929,263,263,0
Rivier,32,16,14,15,48.070022,264,264,0
Bethany Lutheran,29,14,14,15,47.993951,265,265,0
Franciscan,23,12,12,11,47.973201,266,266,0
Gwynedd Mercy,27,16,16,11,47.957572,267,267,0
Dominican (IL),25,12,12,13,47.698556,268,268,0
Russell Sage,28,14,14,14,47.695271,269,269,0
Wis. Lutheran,27,10,10,15,47.647984,270,270,0
King's (PA),24,14,11,9,47.583520,271,271,0
St. Joseph's (ME),32,15,15,16,47.548284,272,272,0
Webster,29,12,12,15,47.391593,273,273,0
Mount Aloysius,28,13,13,14,47.333945,274,274,0
Franklin,23,8,8,12,47.266151,275,275,0
SUNY Geneseo,27,9,9,17,47.257286,276,276,0
Fredonia,29,13,13,15,47.200182,277,277,0
East. Mennonite,25,8,8,15,47.136351,278,278,0
WPI,26,7,7,13,46.961908,279,279,0
Caltech,16,3,3,9,46.938940,280,280,0
Rutgers-Newark,30,13,12,15,46.827361,281,281,0
Berea,24,6,6,14,46.799536,282,282,0
Spalding,28,12,12,15,46.722126,283,283,0
Concordia (TX),24,7,7,13,46.641505,284,284,0
Houghton,26,11,11,15,46.581961,285,285,0
Kalamazoo,24,8,8,13,46.495650,286,288,+2
Concordia Chicago,26,11,11,15,46.489474,287,286,-1
North Central (MN),19,9,9,7,46.486657,288,287,-1
Penn St.-Behrend,31,13,13,18,46.467483,289,289,0
Howard Payne,19,6,6,11,46.447596,290,290,0
Hartford,22,9,9,12,46.440035,291,291,0
SUNY Oneonta,27,9,9,17,46.345282,292,292,0
Hamline,28,9,9,18,46.297535,293,294,+1
Hood,26,9,9,14,46.295426,294,293,-1
Huntingdon,35,15,14,18,46.248263,295,295,0
La Roche,20,9,9,10,46.112923,296,296,0
Framingham St.,28,12,12,15,46.023730,297,297,0
Wooster,27,9,9,16,45.993585,298,298,0
Marian (WI),30,11,11,17,45.971193,299,299,0
Pacific (OR),20,7,7,11,45.961580,300,300,0
Lycoming,22,8,8,13,45.833986,301,301,0
