,team,elo_rating,wins,games
178,Wellesley,1660.2740068839078,13,22
179,Dean,1276.7192606053038,11,28
180,Bay Path,1465.8660030011479,10,16
181,JWU (Providence),1684.851650834665,21,33
182,Framingham St.,1369.7815105626494,13,29
183,New England Col.,1203.7338846133855,10,30
184,WestConn,1506.1627675372872,16,30
185,Regis (MA),1553.4492867971476,22,31
186,Fisher,1479.7439089780128,18,25
187,Thomas (ME),1275.2828296472194,6,20
188,Rivier,1411.1467499485886,16,32
189,Westfield St.,1547.3895297860367,15,28
190,Saint Joseph (CT),1260.2351238446402,4,25
191,Eastern Conn. St.,1445.7857609233322,13,25
192,Simmons,1628.3109929476948,15,29
193,Manhattanville,1769.9630570887948,20,29
194,Anderson (IN),1511.30390829575,17,26
195,Wash. & Jeff.,1538.3945311485174,16,29
196,Olivet,1282.4828244176283,13,26
197,Berea,1354.6287352536374,6,26
198,Otterbein,1928.98456076213,21,29
199,Bluffton,1313.48400531418,16,30
200,Monmouth (IL),1529.1755674861397,19,30
201,Oberlin,1287.9776709036337,5,25
202,Earlham,1684.6452625989814,13,27
203,Northland,1131.140953132709,1,25
204,Franklin,1271.1151878794337,9,29
205,St. Mary-Woods,1588.6765944767028,2,2
206,Goshen,1544.1399437061011,1,1
207,Randolph-Macon,1491.3850223641255,12,27
208,John Carroll,1752.7858903162596,20,30
209,Baldwin Wallace,1646.9181478268924,15,29
210,Gustavus Adolphus,1791.2496696849948,20,30
211,Drew,1452.338244954529,11,32
212,St. Joseph's (L.I.),1552.9749417276087,15,26
213,Scranton,1722.214240973124,17,31
214,Misericordia,1708.7883481707095,25,34
215,Susquehanna,1720.6020599677709,19,32
216,Wis.-Eau Claire,1795.6119722388662,20,28
217,Eastern,1711.8524092907815,19,28
218,Wilkes,1228.759324048095,5,27
219,Keystone,1543.168063861774,20,27
220,Bard,1380.6249238892049,6,26
221,Babson,1749.410552433369,23,30
222,Clarkson,1585.7645409787767,13,28
223,Whitman,1336.4510525275623,6,23
224,Ithaca,1881.621433234442,22,28
225,Springfield,1868.5824313221756,22,29
226,RIT,1610.6342761104195,19,33
227,Skidmore,1507.916192932709,12,28
228,Occidental,1153.5918852928603,3,23
229,Union (NY),1625.4443674133443,19,30
230,Chapman,1439.393829108602,12,28
231,Vassar,1527.6147846498968,8,23
232,Montclair St.,1776.7275692789424,21,29
233,William Smith,1719.0114928639528,22,28
234,Oswego St.,1455.8884569432525,14,28
235,Keene St.,1542.5802911459657,14,30
236,Stevens,1928.2389222154745,27,33
237,Plymouth St.,1780.9031175580124,25,29
238,Plattsburgh St.,1190.4877353774557,4,26
239,SUNY Potsdam,1438.3256593137019,14,24
240,Southern Me.,1304.9999634294923,7,29
241,Maine Maritime,1637.553107254269,18,28
242,UMass Boston,1702.5046615811502,19,28
243,NYU,1817.0261809695442,21,33
244,UMass Dartmouth,1872.0708379279968,23,29
245,FDU-Florham,1284.175976505407,10,26
246,Albright,1616.4316703466266,17,24
247,Bryn Athyn,1233.953775468538,4,22
248,Messiah,1894.908615425995,24,31
249,Stevenson,1486.8935921781424,13,30
250,Rutgers-Camden,1297.7893210423704,6,26
251,King's (PA),1459.6304415623883,18,28
252,Penn St.-Schuylkill,1339.321536956483,1,6
253,Saint Elizabeth,1410.2972930884557,11,25
254,MCLA,1393.3390930716819,11,28
255,Claremont-M-S,1771.5162045277723,21,27
256,Augsburg,1544.0681825654287,16,30
257,Edgewood,1936.4255760211884,24,33
258,Knox,1240.8295560706051,3,25
259,Lawrence,1346.7600463733722,11,31
260,Wis.-Oshkosh,1955.5614292596558,26,31
261,Texas Lutheran,1755.7271173846066,19,27
262,Grinnell,1634.4277828305242,21,31
263,St. Norbert,1659.2240644090693,19,33
264,Beloit,1119.1351098817609,4,25
265,Rockford,1218.917910620838,10,24
266,Cornell College,1809.460252639674,19,30
267,Wis.-Stevens Point,1735.3570443600756,19,30
268,Fontbonne,1612.1863915708655,18,27
269,Lake Forest,1173.1292165160928,4,27
270,Wis.-Whitewater,2008.2926649307446,26,29
271,Waynesburg,1452.6312639168505,7,23
272,Albion,1519.8628476013116,10,33
273,Mount Union,1694.1890840920564,19,29
274,Marietta,1940.2493235345974,23,24
275,Calvin,1767.0414899793466,19,28
276,Carnegie Mellon,1839.3432122114025,19,30
277,Hope,2023.9920194737035,25,27
278,Northwestern-St. Paul,1841.3621241809428,24,32
279,Kalamazoo,1324.9681649626896,8,25
280,Benedictine (IL),1481.5540652189552,12,28
281,Wis.-Stout,1535.4998607391112,13,26
282,Concordia Chicago,1350.196449166853,11,26
283,Webster,1452.1601211385428,14,31
284,Martin Luther,1356.1951295383403,8,28
285,MSOE,1368.8502862631722,13,32
286,Wis. Lutheran,1463.6485874507152,10,27
287,DePauw,1494.5230296651716,17,29
288,Capital,1370.7736979779067,9,26
289,Denison,1537.059805229857,13,27
290,Grove City,1499.704729860118,15,29
291,Wittenberg,1665.044418956909,17,27
292,Husson,1381.4034066657314,9,25
293,Coast Guard,1629.5826168147034,17,28
294,SUNY New Paltz,1657.3813531248074,16,29
295,Stockton,1783.1190668055735,22,30
296,Rowan,1570.62712749008,16,30
297,Buffalo St.,1762.9886975755944,20,30
298,George Fox,1536.0539349227438,14,26
299,Bushnell,1657.0995255107732,4,4
300,Pacific Union,1353.562184572398,1,5
301,Lewis & Clark,1062.025722880994,0,23
302,Hendrix,1433.5151472089874,10,29
303,St. Thomas (TX),1605.3845193476939,15,32
304,Multnomah,1304.6994765896975,0,4
305,Redlands,1473.2846678249334,11,24
306,Willamette,1293.9529333058372,7,24
307,SUNY Delhi,1233.6039428222084,11,30
308,Farmingdale St.,1489.9697058238755,15,23
309,Allegheny,1889.1544726513519,26,31
310,Rochester (NY),1712.949862688779,15,33
311,Muskingum,1592.6846046765468,13,25
312,Chatham,1612.2631260500818,12,25
313,Ohio Northern,1620.2276805388412,20,29
314,CWRU,1761.0871680775845,24,31
315,Greenville,1717.4910360095016,21,30
316,Averett,1419.6310882360333,12,31
317,Meredith,1614.1992782976781,16,28
318,Salem (NC),1831.6255054194623,30,36
319,Ferrum,1359.8821800816484,7,24
320,Mary Baldwin,1076.0662993429928,2,27
321,Guilford,1587.5422904947623,13,26
322,Methodist,1679.9010468505726,23,29
323,Bob Jones,1475.1993188543674,5,12
324,Hollins,1253.9204614684757,3,25
325,Franciscan,1412.057023817348,13,24
326,Westminster (PA),1584.5124807324469,20,35
